Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0001-5173-9030,2025.0,"Supplementary material to ""Uncertainties in long-term ensemble estimates of contextual evapotranspiration over Southern France""",preprint,https://doi.org/10.5194/egusphere-2025-4522-supplement,"['Samuel Mwangi', 'Albert Olioso', 'Jordi Etchanchu', 'Kanishka Mallick', 'Aolin Jia', 'Jérôme Demarty', 'Nesrine Farhani', 'Emmanuelle Sarrazin', 'Philippe Gamet', 'Jean-Louis Roujean', 'Gilles Boulet']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Uncertainties in long-term ensemble estimates of contextual evapotranspiration over Southern France,preprint,https://doi.org/10.5194/egusphere-2025-4522,"['Samuel Mwangi', 'Albert Olioso', 'Jordi Etchanchu', 'Kanishka Mallick', 'Aolin Jia', 'Jérôme Demarty', 'Nesrine Farhani', 'Emmanuelle Sarrazin', 'Philippe Gamet', 'Jean-Louis Roujean', 'Gilles Boulet']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Multiscale analysis of existing actual evapotranspiration products over agropastoral Sahel,journal-article,https://doi.org/10.1016/j.jhydrol.2024.132585,"['Jordi Etchanchu', 'Jérôme Demarty', 'Alain Dezetter', 'Nesrine Farhani', 'Pape Biteye Thiam', 'Aubin Allies', 'Ansoumana Bodian', 'Gilles Boulet', 'Nanée Chahinian', 'Lamine Diop', 'Ibrahim Mainassara', 'Pape Malick Ndiaye', 'Chloé Ollivier', 'Albert Olioso', 'Olivier Roupsard']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Ensemble evapotranspiration estimates and uncertainties: EVASPA,preprint,https://doi.org/10.5194/egusphere-egu25-16717,"['Samuel Mwangi', 'Albert Olioso', 'Gilles Boulet', 'Jordi Etchanchu', 'Vincent Rivalland', 'Nesrine Farhani', 'Jérôme Demarty', 'Chloé Ollivier', 'Kanishka Mallick', 'Tian Hu', 'Aolin Jia', 'Emmanuelle Sarrazin', 'Philippe Gamet', 'Jean-Louis Roujean']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Climate Change impacts on hydrological and plant resources in the agro-pastoral Sahel,preprint,https://doi.org/10.5194/egusphere-egu24-11068,"['Lena Collet', 'Jérôme Demarty', 'Jordi Etchanchu', 'Chloé Ollivier', 'Ibrahim Maïnassara', 'Nesrine Farhani', 'Brune Raynaud-Schell', 'Nanée Chahinian']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Eco-hydrology modelling in arid areas : Study of root density impact on water fluxes in the Sahelian region,preprint,https://doi.org/10.5194/egusphere-egu24-16680,"['Lucie Rapp-Henry', 'Jean-Martial Cohard', 'Mahamadi Tabsoba', 'Basile Hector', 'Jérôme Demarty', 'Laura Condon']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Modelling surface water and energy transfer in karstic mediterranean forests,preprint,https://doi.org/10.5194/egusphere-egu24-10997,"['Brune Raynaud--Schell', 'Jérôme Demarty', 'Jordi Etchanchu', 'Chloé Ollivier', 'Léna Collet', 'Jean Kempf', 'Jean-Marc Limousin', 'Olivier Marloie', 'Albert Olioso', 'Jean-Marc Ourcival', 'Guillaume Simioni', 'Véronique Leonardi']",Jérôme Demarty
0000-0001-5173-9030,2025.0,Multimodel &#8211; multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,preprint,https://doi.org/10.5194/egusphere-egu24-13113,"['Albert Olioso', 'Samuel Mwangi', 'Hugo Desrutins', 'José Sobrino', 'Drazen Skoković', 'Simon Carrière', 'Nesrine Farhani', 'Jordi Etchanchu', 'Jérôme Demarty', 'Tian Hu', 'Kanishka Mallick', 'Aolin Jia', 'Samuel Buis', 'Marie Weiss', 'Chloé Ollivier', 'Gilles Boulet']",Jérôme Demarty
0000-0001-5173-9030,2025.0,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,report,https://insu.hal.science/insu-04936744,"['Sophie Ayrault', 'Lucilla Benedetti', 'Catherine Bertrand', 'Julien Bouchez', 'Isabelle Calmet', 'Philippe Choler', 'Olivier Dauteuil', 'Olivier de Viron', 'Jérôme Demarty', 'Aurélie Goutte', 'Gwenaël Imfeld', 'Jérémy Jacob', 'Damien Jougnot', 'Jean Martins', 'Edouard Metzger', 'Sylvie Nazaret', 'Jean-Louis Rajot', 'Nizar Abcha', 'Philippe Ackerer', 'Cécile Albert', 'Elena Alekseenko', 'Marie Alexis', 'Thierry Allard', 'Pierre Amato', 'David Amouroux', 'Anne-Sylvie André-Mayer', 'Sandrine Anquetin', 'Eric Armynot', 'Marie Chatelet', 'Dominique Arnaud', 'Julie Aubert', 'Cédric Aufort', 'Etienne Bacour', 'Pierre Balan', 'Maialen Barré', 'Pascale Barret', 'Thierry Bauda', 'Benjamin Beguiristain', 'Frida Belfort', 'Rais Ben', 'Marc Lasram', 'Anne-Claire Benedetti', 'Patrick Bennis', 'Gilles Billard', 'Elise Billen', 'Françoise Billoir', 'Anne-Kristel Binet', 'Marc Bittebiere', 'Hélène Blanchard', 'Damien Blanchoud', 'Patricia Blaudez', 'Camille Bonin', 'Guillaume Bouchez', 'François Bouger', 'Anne Bourrin', 'Odile Bousquet-Mélou', 'Simon Bruneel', 'Corinne Carrière', 'Antoine Casiot', 'Charlotte Casquin', 'Aurélie Catrouillet', 'François Cébron', 'Nicolas Chabaux', 'Bruno Champollion', 'Mathieu Charriere', 'Pascal Chassé', 'Yoann Copard', 'Marie-Christine Cormier-Salem', 'Samuel Coussy', 'Philippe Cuny', 'Michaël Danger', 'Jose Darrozes', 'Karin Dassas', 'Emilie Dassie', 'François de Vleeschouwer', 'Maxime Debret', 'Christine Delire', 'Claire Delon', 'Nicolas Delpierre', 'Simon Devin', 'Laurent Dezileau', 'Agnès Ducharne', 'Jérôme Duval', 'Fabien Esculier', 'Olivier Evrard', 'Eric Ferrage', 'Marianne Font-Ertlen', 'Julien Fouché', 'Anthony Foucher', 'Matthieu Fournier', 'François Fromard', 'Lucille Furgerot', 'Laure Gandois', 'Antoine Gardel', 'Josette Garnier', 'Simon Gascoin', 'Cécile Gautheron', 'Frédéric Gérard', 'Laure Giamberini', 'Ludovic Gielly', 'Charline Giguet-Covex', 'Sébastien Gogo', 'Claire Gollety', 'Dominique Gommery', 'Maria Soledad Goni Urriza', 'Swanne Gontharet', 'Régis Grimaud', 'Laure Guerit', 'Elodie Guigon', 'Vincent Guinot', 'Rémy Guyoneaud', 'Sophia Hansson', 'Basile Hector', 'Marina Héry', 'Fabien Hubert', 'Françoise Immel', 'Marie-Pierre Isaure', 'Abderrahim Jardani', 'Emilie Jardé', 'Laurent Jeanneau', 'Stanislav Jelavić', 'Anne Jost', 'Jean Kempf', 'Philippe Kerhervé', 'Bahia Khalfaoui', 'Sylvain Kuppel', 'Jérôme Labanowski', 'Thierry Labasque', 'Patrick Lachassagne', 'Laurent Lanceleur', 'Bruno Lanson', 'Goulven Laruelle', 'Béatrice Lauga', 'Valérie Le Dantec', 'Séverine Le Faucheur', 'Marie Le Jean', 'Pierre Le Pape', 'Gael Le Roux', 'Marine Legrand', 'Jean-François Léon', 'Nolwenn Lesparre', 'Laurence Lestel', 'Jean-Marc Limousin', 'Esméralda Longépée', 'Fanny Louis', 'Wolgang Ludwig', 'Fabienne Maignan', 'Odin Marc', 'Cyril Marchand', 'Virginie Marécal', 'Yves Marrochi', 'Rémi Marsac', 'Jeremy Masbou', 'Armand Masion', 'Nicolas Massei', 'Sylvie Massemin', 'Olivier Merlin', 'Arnaud Mialon', 'Emma Michaud', 'Cécile Militon', 'Laetitia Minguez', 'Leslie Mondamert', 'Anne Mone', 'Mathilde Monperrus', 'Jean-Sébastien Moquet', 'Valérie Morel', 'Guillaume Morin', 'Samuel Morin', 'Dominique Mouazé', 'Jean-Marie Mouchel', 'Emilie Muller', 'Benjamin Musnier', 'Jean Nabucet', 'Julien Nemery', 'Nathalie Niquil', 'Priscia Oliva', 'Laurent Orgogozo', 'Catherine Ottlé', 'Ludovic Oudin', 'Christophe Pagnout', 'Carmen Palacios', 'Geremy Panthou', 'Pierre-Yves Pascal', 'Sylvain Payraudeau', 'Thierry Pellarin', 'Manuel Pelletier', 'Jean-Louis Perrin', 'Christophe Peugeot', 'Jean-Philippe Pezy', 'Thierry Pigot', 'Gilles Pinay', 'Sébastien Pinel', 'Valérie Plagnes', 'Pascal Poupin', 'Hugues Preudhomme', ""Sophie Prud'Homme"", 'Christophe Rabouille', 'Mélanie Raimonet', 'Anthony Ranchou-Peyruse', 'Guillaume Ramillien', 'Faycal Rejiba', 'Éléonore Resongles', 'Jean Riotte', 'Tony Robinet', 'Fabrice Rodriguez', 'Christian Salles', 'Elodie Salmon', 'Thomas Saucède', 'Sabine Sauvage', 'Nicolas Savoye', 'Irene Schimmelpfennig', 'François Schmitt', 'Johann Schnyder', 'Mathieu Sebilo', 'Loïc Segalen', 'Alexei Sentchev', 'Antoine Séjourné', 'Lucia Seoane', 'Liudmila Shirokova', 'Marie Silvestre', 'Anaëlle Simonneau', 'Yann Sivry', 'Delphine Six', 'Aldo Sottolichio', 'Cyprien Soulaine', 'Tiphaine Tallec', 'Roman Teisserenc', 'Bernadette Tessier', 'Mickael Tharaud', 'Thibaut Aubin', 'Thomas de Chanvalon', 'Vincent Thiebault', 'Gérard Thieu', 'Christophe Thouzeau', 'Christophe Tournassat', 'Danièle Tournassat', 'Eric Valdes', 'Deborah van Hullebusch', 'Nathalie Verfaillie', 'Didier Vigier', 'Nicolas Voisin', 'Stéphane Vuichard', 'Xiaoni Vuilleumier', 'Sylvain Wang', 'Asfaw Weill', 'Pierpaolo Zegeye']",Jérôme Demarty
0000-0001-5173-9030,2024.0,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction ,conference-paper,https://hal.science/hal-04908427,"['Nesrine Farhani', 'Jordi Etchanchu', 'Alain Dezetter', 'Pape Biteye Thiam', 'Aubin Allies', 'Ansoumana Bodian', 'Gilles Boulet', 'Nanee Chahinian', 'Lamine Diop', 'Ibrahim Mainassara', 'Pape Malick Ndiaye', 'Chloé Ollivier', 'Albert Olioso', 'Olivier Roupsard', 'Jérôme Demarty']",Jérôme Demarty
