Acronyme PEPR,projet,Type_Data,Libellé structure,Sigle structure,Code RNSR,Code Unité,Tutelles,Domaine scientifique,Discipline ERC,Adresse,Latitude,Longitude
FairCarboN,CABESTAN,Labo,Adaptation et diversité en milieu marin ,AD2M,200512529B,UMR 7144,CNRS / Sorbonne Université,"5-Biologie, médecine et santé","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Place Georges Teissier - CS90074-29688-ROSCOFF CEDEX,48.7269243,-3.9876728
FairCarboN,CrosyeN,Labo,Institut Amélioration Génétique et Adaptation des Plantes méditerranéennes et Tropicales,AGAP,201119637B,UMR 1334,CIRAD / INRAE / Institut Agro / université de Montpellier / INRIA,10-Sciences agronomiques et écologiques," - LS9 : Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",03 - Avenue Agropolis - 34398 Montpellier Cedex 5 France,43.6394783,3.8734664
FairCarboN,RhizoSeqC,Labo,Institut Amélioration Génétique et Adaptation des Plantes méditerranéennes et Tropicales,AGAP,201119637B,UMR 1334,CIRAD / INRAE / Institut Agro / université de Montpellier / INRIA,10-Sciences agronomiques et écologiques," - LS9 : Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",03 - Avenue Agropolis - 34398 Montpellier Cedex 5 France,43.6394783,3.8734664
FairCarboN,SLAM-B,Labo,"AGroécologie, Innovations, teRritoires",AGIR,200317643U,UMR 1248,INRAE / INP TOULOUSE,7-Sciences de la société/ 10-Sciences agronomiques et écologiques / 6-Sciences humaines et humanités,,Chemin de Borderouge 31326 CASTANET TOLOSAN ,43.5274577,1.4982686
FairCarboN,CrosyeN,Labo,"AGroécologie, Innovations, teRritoires",AGIR,200317643U,UMR 1248,INRAE / INP TOULOUSE,7-Sciences de la société/ 10-Sciences agronomiques et écologiques / 6-Sciences humaines et humanités,,Chemin de Borderouge 31326 CASTANET TOLOSAN ,43.5274577,1.4982686
FairCarboN,CrosyeN,Labo,Agroécologie [Dijon],Agroécologie,201220381F,UMR 1347,INRAE/ UBFC / Institut Agro,"10-Sciences agronomiques et écologiques / 5-Biologie, médecine et santé / 3-Sciences de la terre et de l'univers, espace","LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","INRAE, Centre de Dijon,  17 rue Sully, BP 86510 – 21065 DIJON Cédex",47.3172077,5.0693536
FairCarboN,CANETE,Labo,Agroécologie [Dijon],Agroécologie,201220381F,UMR 1347,INRAE/ UBFC / Institut Agro,"10-Sciences agronomiques et écologiques / 5-Biologie, médecine et santé / 3-Sciences de la terre et de l'univers, espace","LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","INRAE, Centre de Dijon,  17 rue Sully, BP 86510 – 21065 DIJON Cédex",47.3172077,5.0693536
FairCarboN,CrosyeN,Labo,Agroécologie et intensification durables des cultures annuelles,AIDA,201421281A,UPR 115,CIRAD ,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218
FairCarboN,ALAMOD,Labo,Agroécologie et intensification durables des cultures annuelles,AIDA,201421281A,UPR 115,CIRAD ,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218
FairCarboN,RIFT,Labo,BotAnique et Modélisation de l'Architecture des Plantes et des Végétations,AMAP,200317641S,UMR 5120,INRAE / CNRS / IRD / CIRAD,10-Sciences agronomiques et écologiques / 9-Sciences et technologies de l'information et de la communication,"PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","Parc Scientifique Agropolis, 2196 Bd de la Lironde, 34980 Montferrier-sur-Lez",43.663631,3.8459387
FairCarboN,TROPECOS,Labo,BotAnique et Modélisation de l'Architecture des Plantes et des Végétations,AMAP,200317641S,UMR 5120,INRAE / CNRS / IRD / CIRAD,10-Sciences agronomiques et écologiques / 9-Sciences et technologies de l'information et de la communication,"PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","Parc Scientifique Agropolis, 2196 Bd de la Lironde, 34980 Montferrier-sur-Lez",43.663631,3.8459387
FairCarboN,GREENSCALE,Labo,ARVALIS,ARVALIS,,Entreprise partenaire,Entreprise partenaire,,,ARVALIS,48.3350668,2.3741995
FairCarboN,SLAM-B,Labo,Agrosystèmes tropicaux,ASTRO,201119636A,UR 1321,INRAE,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",INRA Domaine Duclos Petit-Bourg F-97170 Guadeloupe,16.201713362352596,-61.664843
FairCarboN,ALAMOD,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
